DEBUG 2025-11-27 17:56:27,715 autoreload File D:\.venvs\.venv\Lib\site-packages\rest_framework\negotiation.py first seen with mtime 1764245879.889661
DEBUG 2025-11-27 17:56:27,715 autoreload File D:\.venvs\.venv\Lib\site-packages\colorama\ansi.py first seen with mtime 1764245873.9377172
DEBUG 2025-11-27 17:56:27,716 autoreload File D:\.venvs\.venv\Lib\site-packages\drf_spectacular\contrib\__init__.py first seen with mtime 1764245885.524821
DEBUG 2025-11-27 17:56:27,716 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1764245879.2958539
DEBUG 2025-11-27 17:56:27,716 autoreload File D:\.venvs\.venv\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1764245879.3531668
DEBUG 2025-11-27 17:56:27,716 autoreload File D:\.venvs\.venv\Lib\site-packages\rest_framework\utils\encoders.py first seen with mtime 1764245880.3394575
DEBUG 2025-11-27 17:56:27,717 autoreload File D:\.venvs\.venv\Lib\site-packages\rest_framework\parsers.py first seen with mtime 1764245879.896521
DEBUG 2025-11-27 17:56:27,717 autoreload File D:\.venvs\.venv\Lib\site-packages\drf_spectacular\contrib\rest_framework.py first seen with mtime 1764245885.535818
DEBUG 2025-11-27 17:56:27,717 autoreload File D:\.venvs\.venv\Lib\site-packages\rest_framework\fields.py first seen with mtime 1764245879.8818412
DEBUG 2025-11-27 17:56:27,718 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1764245879.1791942
DEBUG 2025-11-27 17:56:27,718 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\http\__init__.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,719 autoreload File D:\.venvs\.venv\Lib\site-packages\drf_spectacular\contrib\rest_polymorphic.py first seen with mtime 1764245885.5388155
DEBUG 2025-11-27 17:56:27,719 autoreload File D:\.venvs\.venv\Lib\site-packages\urllib3\response.py first seen with mtime 1764245877.4530852
DEBUG 2025-11-27 17:56:27,719 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1764245878.3026614
DEBUG 2025-11-27 17:56:27,720 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1764245879.1869006
DEBUG 2025-11-27 17:56:27,720 autoreload File D:\.venvs\.venv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1764245875.9084039
DEBUG 2025-11-27 17:56:27,720 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\admin\views\decorators.py first seen with mtime 1764245878.0752215
DEBUG 2025-11-27 17:56:27,721 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\bisect.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,721 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\migrations\questioner.py first seen with mtime 1764245879.2656274
DEBUG 2025-11-27 17:56:27,721 autoreload File D:\.venvs\.venv\Lib\site-packages\urllib3\_collections.py first seen with mtime 1764245877.437143
DEBUG 2025-11-27 17:56:27,721 autoreload File D:\.venvs\.venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1764245875.916926
DEBUG 2025-11-27 17:56:27,722 autoreload File D:\.venvs\.venv\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1764245880.342972
DEBUG 2025-11-27 17:56:27,722 autoreload File D:\.venvs\.venv\Lib\site-packages\pygments\plugin.py first seen with mtime 1764245877.3126802
DEBUG 2025-11-27 17:56:27,722 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\traceback.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,722 autoreload File D:\.venvs\.venv\Lib\site-packages\uritemplate\__init__.py first seen with mtime 1764245881.4642794
DEBUG 2025-11-27 17:56:27,723 autoreload File D:\.venvs\.venv\Lib\site-packages\django_filters\widgets.py first seen with mtime 1764245885.28144
DEBUG 2025-11-27 17:56:27,723 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\files\temp.py first seen with mtime 1764245879.2001204
DEBUG 2025-11-27 17:56:27,723 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1764245879.2302587
DEBUG 2025-11-27 17:56:27,724 autoreload File D:\.venvs\.venv\Lib\site-packages\django\utils\choices.py first seen with mtime 1764245879.3747814
DEBUG 2025-11-27 17:56:27,724 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\paginator.py first seen with mtime 1764245879.184888
DEBUG 2025-11-27 17:56:27,724 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\DLLs\_lzma.pyd first seen with mtime 1755210820.0
DEBUG 2025-11-27 17:56:27,725 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1764245879.203217
DEBUG 2025-11-27 17:56:27,725 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,725 autoreload File D:\.venvs\.venv\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1764245879.3849182
DEBUG 2025-11-27 17:56:27,725 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\threading.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,726 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1764245878.3042314
DEBUG 2025-11-27 17:56:27,726 autoreload File D:\Vortex\apps\authentication\models.py first seen with mtime 1764244108.2390246
DEBUG 2025-11-27 17:56:27,726 autoreload File D:\.venvs\.venv\Lib\site-packages\django\test\utils.py first seen with mtime 1764245879.3682482
DEBUG 2025-11-27 17:56:27,726 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1764245878.078241
DEBUG 2025-11-27 17:56:27,727 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1764245879.1950889
DEBUG 2025-11-27 17:56:27,727 autoreload File D:\.venvs\.venv\Lib\site-packages\django_filters\filters.py first seen with mtime 1764245885.2391245
DEBUG 2025-11-27 17:56:27,727 autoreload File D:\.venvs\.venv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1764245879.3927684
DEBUG 2025-11-27 17:56:27,727 autoreload File D:\.venvs\.venv\Lib\site-packages\drf_spectacular\drainage.py first seen with mtime 1764245885.4756148
DEBUG 2025-11-27 17:56:27,728 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\concurrent\__init__.py first seen with mtime 1755210782.0
